Change,Chg,Closing_price,Highest_price,Minimum_price,Opening_price,Turnover,VWAP,Volume,contract,data
-0.90,-0.31%,288.38,289.65,287.92,288.28,"3,222,446,150.00",288.53,"11,168.40",mAu(T+D),2019-02-25
3.45,1.80%,195.50,195.95,195.50,195.95,"61,095,000.00",195.81,312.00,Pt99.95,2019-02-25
5,0.13%,"3,711","3,719","3,701","3,703","9,135,733,262.00","3,711","2,461,268.00",Ag(T+D),2019-02-25
-3.08,-1.05%,289.50,290.00,289.00,289.00,"34,740.00",289.50,0.12,PGC30g,2019-02-25
-0.29,-0.10%,288.00,289.25,287.70,287.70,"327,923,500.00",288.15,"1,138.00",Au99.95,2019-02-26
-0.33,-0.11%,288.00,289.20,287.20,289.20,"4,611,142,625.40",288.25,"16,008.14",Au99.99,2019-02-26
-0.59,-0.20%,288.14,288.73,286.50,288.00,"20,527,404.00",287.49,71.40,Au100g,2019-02-26
-0.27,-0.09%,285.97,286.40,285.00,285.96,"3,453,632,513.60",285.87,"12,080.80",iAu99.99,2019-02-26
-0.45,-0.16%,287.89,288.50,287.12,288.03,"12,109,811,060.00",288.04,"42,042.00",Au(T+D),2019-02-26
0.10,0.03%,289.40,289.80,288.10,289.05,"2,029,866,020.00",288.85,"7,027.80",Au(T+N1),2019-02-26
-0.55,-0.19%,292.40,292.65,291.50,292.10,"7,487,470.00",292.45,25.60,Au(T+N2),2019-02-26
-0.56,-0.19%,287.97,288.60,287.48,288.40,"1,945,072,696.00",288.21,"6,748.80",mAu(T+D),2019-02-26
2.31,1.18%,197.81,197.90,196.98,196.98,"50,146,900.00",197.42,254.00,Pt99.95,2019-02-26
-18,-0.48%,"3,735","3,735","3,735","3,735","4,482,000.00","3,735","1,200.00",Ag99.99,2019-02-26
-14,-0.38%,"3,697","3,713","3,688","3,710","10,818,165,634.00","3,700","2,923,094.00",Ag(T+D),2019-02-26
-0.84,-0.29%,288.66,288.66,288.66,288.66,"103,917.60",288.66,0.36,PGC30g,2019-02-26
-0.30,-0.10%,287.70,287.90,287.56,287.80,"260,681,000.00",287.72,906.00,Au99.95,2019-02-27
-0.11,-0.04%,287.89,288.97,280.60,288.97,"6,645,268,563.60",287.85,"23,247.80",Au99.99,2019-02-27
-0.07,-0.02%,288.07,288.49,286.94,288.00,"9,101,018.00",288.00,31.60,Au100g,2019-02-27
-0.19,-0.07%,285.78,286.00,281.69,285.97,"913,924,413.20",285.85,"3,197.20",iAu99.99,2019-02-27
-0.24,-0.08%,287.80,288.18,287.27,287.57,"11,991,839,740.00",287.68,"41,684.00",Au(T+D),2019-02-27
-0.25,-0.09%,288.60,288.95,288.25,288.50,"48,481,360.00",288.55,168.00,Au(T+N1),2019-02-27
-0.50,-0.17%,291.95,292.30,291.70,291.80,"4,263,670.00",292.05,14.60,Au(T+N2),2019-02-27
-0.38,-0.13%,287.83,288.30,287.45,287.90,"1,610,789,462.00",287.85,"5,595.80",mAu(T+D),2019-02-27
0.88,0.44%,198.69,199.16,198.60,199.06,"35,366,400.00",198.68,178.00,Pt99.95,2019-02-27
-12,-0.32%,"3,723","3,723","3,723","3,723","3,350,700.00","3,723",900.00,Ag99.99,2019-02-27
-6,-0.16%,"3,694","3,706","3,688","3,695","9,367,748,640.00","3,695","2,534,824.00",Ag(T+D),2019-02-27
